PROTOCOL,NUM_EXPERTS,NUM_ROUNDS,PROP,GAS_EXPERT,GAS_MANAGER,HARD_ACC,HARD_REPT,SOFT_ACC,SOFT_REPT
SNOWBALL,7,8,80,88.857,986670.6,2.694,80.686,76.007,86.49
SNOWBALL,15,5,20,87.16,1978627,91.839,91.7,92.485,92.605
SNOWBALL,9,11,60,89.278,1250749.8,89.079,92.192,91.7,92.621
SNOWBALL,15,14,80,87.367,1961086.4,31.683,90.595,82.577,90.407
SLUSH,7,5,80,89.157,973829.8,3.569,89.403,77.93,89.125
SLUSH,15,14,0,86.693,2137940.3,92.065,91.966,92.777,92.804
SLUSH,13,8,80,87.723,1696826.6,44.612,90.727,86.775,90.329
SLUSH,11,8,80,87.955,1461404,14.461,88.179,83.841,90.483
SLUSH,7,8,20,89.2,1043846.3,93.331,93.201,93.742,93.795
SLUSH,7,5,0,88.986,1016234.4,93.698,93.503,94.089,93.909
SLUSH,7,8,80,89.029,1008315.6,3.64,89.377,83.315,89.307
SLUSH,7,5,20,89.014,1015813.4,93.42,93.249,93.703,93.755
SLUSH,11,8,60,87.745,1471101.8,84.335,91.034,89.84,91.457
SLUSH,13,8,0,87.623,1783766,92.552,92.624,93.12,93.075
SLUSH,7,14,60,88.8,1119042.3,93.4,93.562,93.965,93.935
SLUSH,15,8,20,87.24,2055779.1,91.938,91.968,92.472,92.44
SLUSH,15,5,80,87.347,1905405.6,25.77,89.883,81.925,90.091
SLUSH,9,11,80,89.178,1249977.6,18.981,88.526,85.332,90.55
SLUSH,5,11,0,90.2,811359.7,94.071,93.903,94.696,94.509
SLUSH,9,11,40,88.756,1306997.2,91.576,92.407,92.669,93.084
SLUSH,11,5,0,87.791,1507881.5,92.695,92.51,93.148,93.205
SLUSH,5,5,40,90.08,767437,91.825,92.611,93.18,93.582
SLUSH,5,11,20,89.88,806377.3,94.035,93.509,94.531,94.585
SLUSH,15,11,60,87.173,1958469.6,89.113,91.34,90.15,91.331
SLUSH,15,5,20,87.293,1989679,91.981,92.011,92.57,92.645
SLUSH,5,14,0,90.04,847089.5,94.061,93.91,94.715,94.678
SLUSH,13,8,60,87.523,1758832,88.015,91.721,91.04,92.172
SLUSH,13,8,20,87.792,1797622.2,92.245,92.245,92.815,92.929
SLUSH,15,11,80,87.107,1943443.2,32.229,89.701,77.579,89.972
SLUSH,15,11,40,87.053,2031952.5,91.353,91.567,91.695,92.065
SLUSH,13,5,40,87.254,1724220,92.142,92.271,92.513,92.407
SLUSH,7,14,80,88.771,1012113.3,1.732,89.039,80.729,88.886
SLUSH,7,11,20,88.986,1074524.5,93.415,93.281,93.776,93.646
SLUSH,13,11,20,87.446,1841637.3,92.516,92.474,92.993,92.974
SLUSH,5,14,40,90.34,808176.8,92.14,93.362,92.961,93.334
SLUSH,9,8,40,89.144,1269856.8,92.24,92.804,92.99,93.23
SLUSH,5,11,80,90.06,766990.6,1.79,90.45,81.112,90.239
SLUSH,9,14,20,89.022,1361715.5,93.31,93.271,93.564,93.59
SLUSH,5,5,20,90.42,769345.8,93.709,93.551,94.147,94.029
SLUSH,11,8,40,88.291,1530622.3,91.976,92.134,92.448,92.432
SLUSH,13,14,20,87.331,1901561,92.176,92.196,92.873,92.909
SLUSH,13,11,80,87.346,1720770.4,46.42,90.703,86.623,90.1
SLUSH,9,8,80,88.6,1226717,21.834,87.984,86.422,89.957
SLUSH,13,14,60,87.531,1802526.4,88.475,91.62,90.764,91.94
SLUSH,9,5,80,88.978,1207921,22.879,88.013,86.899,90.243
SLUSH,13,5,20,87.692,1730290,92.476,92.499,92.871,92.91
